movie_id,person_id,job,created_at
197021d8-e81e-4a97-a23b-e0f8c8e0cee5,d1da0ed4-5ad6-4558-9adc-18f951fc2054,Writer,2026-02-03 07:00:10.484292+00
197021d8-e81e-4a97-a23b-e0f8c8e0cee5,d2311b7a-fb9c-421e-95a9-2f06e7fbfaf9,Writer,2026-02-03 07:00:10.484292+00
1adaa710-002b-4210-a8a2-4391b0454e47,0bc49802-9bbe-4809-b7ea-d22993c85c29,Writer,2026-01-25 23:23:34.15341+00
1adaa710-002b-4210-a8a2-4391b0454e47,0c2afb84-b0f4-46ae-a83f-35d2d0563f2c,Writer,2026-01-25 23:23:34.15341+00
1adaa710-002b-4210-a8a2-4391b0454e47,62b3693e-881a-4e3e-9405-c7f9d08187e0,Composer,2026-01-25 23:23:34.15341+00
1adaa710-002b-4210-a8a2-4391b0454e47,74081b1d-18f1-4819-92b3-5d421720f5f2,Director,2026-01-25 23:23:34.15341+00
1adaa710-002b-4210-a8a2-4391b0454e47,c2facfd7-2d86-481f-ae5a-a9056cb91710,Writer,2026-01-25 23:23:34.15341+00
1b9da9ea-7cf3-4717-a1ab-3fd909e361fa,543b7b39-bcdd-417e-9c01-56424b81cd69,Writer,2026-01-25 23:23:34.15341+00
1b9da9ea-7cf3-4717-a1ab-3fd909e361fa,a4fcd5b8-d0a1-4e61-9516-adabe7a1efdb,Composer,2026-01-25 23:23:34.15341+00
1b9da9ea-7cf3-4717-a1ab-3fd909e361fa,daa7a4e8-fbba-41b7-8fca-73833067e324,Director,2026-01-25 23:23:34.15341+00
1bcac2d7-0dd3-440f-b590-e55f26af7436,53a13588-183c-4d48-bc14-8484a471c68f,Writer,2026-01-25 23:23:34.15341+00
1bcac2d7-0dd3-440f-b590-e55f26af7436,7bede851-30f7-4a99-95d6-15775bd7c245,Director,2026-01-25 23:23:34.15341+00
1bcac2d7-0dd3-440f-b590-e55f26af7436,7bede851-30f7-4a99-95d6-15775bd7c245,Writer,2026-01-25 23:23:34.15341+00
1cb983bd-3509-4bac-88b7-f2c5e82ea663,ca2396a1-d8b9-45ac-a482-bcf9405e98f8,Composer,2026-01-30 01:41:18.615684+00
1cb983bd-3509-4bac-88b7-f2c5e82ea663,e42209ec-fded-4c49-9dfe-631ff69c3974,Director,2026-01-30 01:41:18.615684+00
1cb983bd-3509-4bac-88b7-f2c5e82ea663,f7d6d71d-ec77-45ae-91a0-541b9a00bab8,Director,2026-01-30 01:41:18.615684+00
1cb983bd-3509-4bac-88b7-f2c5e82ea663,fad3c5f2-9ff4-4d87-984f-7a0610371f26,Writer,2026-01-30 01:41:18.615684+00
1cb983bd-3509-4bac-88b7-f2c5e82ea663,faf66464-6961-4590-9944-9946b5738ce4,Writer,2026-01-30 01:41:18.615684+00
1e45b8b3-f64a-4172-9d54-b429faef40fa,39c302cc-d1ed-4a91-a774-9a652afa9a4e,Writer,2026-01-25 23:23:34.15341+00
1e45b8b3-f64a-4172-9d54-b429faef40fa,7b14287c-1caa-43d4-ad9c-9c983b16fe84,Composer,2026-01-25 23:23:34.15341+00
1e45b8b3-f64a-4172-9d54-b429faef40fa,bfc62715-1b00-4e1f-b02b-d10880d0ad8d,Director,2026-01-25 23:23:34.15341+00
1e45b8b3-f64a-4172-9d54-b429faef40fa,bfc62715-1b00-4e1f-b02b-d10880d0ad8d,Writer,2026-01-25 23:23:34.15341+00
2114141d-0570-4436-8d61-84bf9abdb074,0c0b3621-5579-410c-9cef-6a0675b87f92,Writer,2026-01-25 23:23:34.15341+00
2114141d-0570-4436-8d61-84bf9abdb074,979b24e6-e4f0-4b51-83b8-49e701be4031,Writer,2026-01-25 23:23:34.15341+00
2114141d-0570-4436-8d61-84bf9abdb074,d7473248-f24d-4da7-94f4-567420402e6b,Composer,2026-01-25 23:23:34.15341+00
2114141d-0570-4436-8d61-84bf9abdb074,fc370ce6-dded-426d-bd2d-c413b3674b8f,Director,2026-01-25 23:23:34.15341+00
2114141d-0570-4436-8d61-84bf9abdb074,fc370ce6-dded-426d-bd2d-c413b3674b8f,Writer,2026-01-25 23:23:34.15341+00
2164d4f8-1c62-4681-b0e3-486110f2fbfa,3076a2c2-2f20-47f3-9dc4-11fbf1fb2650,Director,2026-01-25 23:23:34.15341+00
2164d4f8-1c62-4681-b0e3-486110f2fbfa,3076a2c2-2f20-47f3-9dc4-11fbf1fb2650,Writer,2026-01-25 23:23:34.15341+00
2164d4f8-1c62-4681-b0e3-486110f2fbfa,f93da2e6-c785-4cf6-8612-e7035502f279,Director,2026-01-25 23:23:34.15341+00
2164d4f8-1c62-4681-b0e3-486110f2fbfa,f93da2e6-c785-4cf6-8612-e7035502f279,Writer,2026-01-25 23:23:34.15341+00
2164d4f8-1c62-4681-b0e3-486110f2fbfa,ff95c11f-8e00-4e88-9038-bd0b681ddba2,Composer,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,4445ded3-f501-48ad-a131-9a4070980d09,Composer,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,5841342a-af77-42f1-8057-ccad95115631,Writer,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,aa78750d-ac71-41fb-9d42-1159d9b25879,Writer,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,afbea397-ed04-442c-88cb-71b364e396f6,Director,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,b93ab364-7720-4499-b856-66bf539e6048,Writer,2026-01-25 23:23:34.15341+00
217ac67a-f242-4f8f-8818-08e111415b08,ea70c2e7-731b-41c3-b09f-baf7aedab6d3,Writer,2026-01-25 23:23:34.15341+00
21f2ab21-8a18-4326-96d5-ef12745dabee,783994b2-54bf-4ad9-86ee-ab965ddd9f50,Director,2026-01-25 23:23:34.15341+00
